TMK13,TMK9,TMK_Island,TMK_Zone,TMK_Sec,TMK_Plat,TMK_Parcel,TMK_CPR
2120020390000,212002039000,2,12,00,203,9000,0
2120020390000,212002039000,2,12,00,203,9000,0
2120020410000,212002041000,2,12,00,204,1000,0
2120020430000,212002043000,2,12,00,204,3000,0
2120020440000,212002044000,2,12,00,204,4000,0
2120020450000,212002045000,2,12,00,204,5000,0
2120020450000,212002045000,2,12,00,204,5000,0
2120020450000,212002045000,2,12,00,204,5000,0
2120020460000,212002046000,2,12,00,204,6000,0
2120020470000,212002047000,2,12,00,204,7000,0
2120020480000,212002048000,2,12,00,204,8000,0
2120020480000,212002048000,2,12,00,204,8000,0
2120020500000,212002050000,2,12,00,205,0000,0
2120020500000,212002050000,2,12,00,205,0000,0
2120020500000,212002050000,2,12,00,205,0000,0
2120020520000,212002052000,2,12,00,205,2000,0
2120030010000,212003001000,2,12,00,300,1000,0
2120030010000,212003001000,2,12,00,300,1000,0
2120030010000,212003001000,2,12,00,300,1000,0
2120030010000,212003001000,2,12,00,300,1000,0
2120030010000,212003001000,2,12,00,300,1000,0
2120030010000,212003001000,2,12,00,300,1000,0
2120030010000,212003001000,2,12,00,300,1000,0
2120030030000,212003003000,2,12,00,300,3000,0
2120030030000,212003003000,2,12,00,300,3000,0
2120030040000,212003004000,2,12,00,300,4000,0
2120030050000,212003005000,2,12,00,300,5000,0
2120030050000,212003005000,2,12,00,300,5000,0
2120030050000,212003005000,2,12,00,300,5000,0
2120030050000,212003005000,2,12,00,300,5000,0
2120030050000,212003005000,2,12,00,300,5000,0
2120030050000,212003005000,2,12,00,300,5000,0
2120030050000,212003005000,2,12,00,300,5000,0
2120030070000,212003007000,2,12,00,300,7000,0
2120030130000,212003013000,2,12,00,301,3000,0
2120030130000,212003013000,2,12,00,301,3000,0
2120030170000,212003017000,2,12,00,301,7000,0
2120030200000,212003020000,2,12,00,302,0000,0
2120030200000,212003020000,2,12,00,302,0000,0
2120030200000,212003020000,2,12,00,302,0000,0
2120030200000,212003020000,2,12,00,302,0000,0
2120030200000,212003020000,2,12,00,302,0000,0
2120030200000,212003020000,2,12,00,302,0000,0
2120030210000,212003021000,2,12,00,302,1000,0
2120030210000,212003021000,2,12,00,302,1000,0
2120030210000,212003021000,2,12,00,302,1000,0
2120030220000,212003022000,2,12,00,302,2000,0
2120030220000,212003022000,2,12,00,302,2000,0
2120030220000,212003022000,2,12,00,302,2000,0
2120030220000,212003022000,2,12,00,302,2000,0
2120030230000,212003023000,2,12,00,302,3000,0
2120030240000,212003024000,2,12,00,302,4000,0
2120030260000,212003026000,2,12,00,302,6000,0
2120030310000,212003031000,2,12,00,303,1000,0
2120030320000,212003032000,2,12,00,303,2000,0
2120030330000,212003033000,2,12,00,303,3000,0
2120030340000,212003034000,2,12,00,303,4000,0
2120030340000,212003034000,2,12,00,303,4000,0
2120030350000,212003035000,2,12,00,303,5000,0
2120030370000,212003037000,2,12,00,303,7000,0
2120030380000,212003038000,2,12,00,303,8000,0
2120030380000,212003038000,2,12,00,303,8000,0
2120030380000,212003038000,2,12,00,303,8000,0
2120030390000,212003039000,2,12,00,303,9000,0
2120030390000,212003039000,2,12,00,303,9000,0
2120030400000,212003040000,2,12,00,304,0000,0
2120030410000,212003041000,2,12,00,304,1000,0
2120030420000,212003042000,2,12,00,304,2000,0
2120030440000,212003044000,2,12,00,304,4000,0
2120030450000,212003045000,2,12,00,304,5000,0
2120030470000,212003047000,2,12,00,304,7000,0
2120030480000,212003048000,2,12,00,304,8000,0
2120030480000,212003048000,2,12,00,304,8000,0
2120030480000,212003048000,2,12,00,304,8000,0
2120030490000,212003049000,2,12,00,304,9000,0
2120030490000,212003049000,2,12,00,304,9000,0
2120030500000,212003050000,2,12,00,305,0000,0
2120030520000,212003052000,2,12,00,305,2000,0
2120030550000,212003055000,2,12,00,305,5000,0
2120040010000,212004001000,2,12,00,400,1000,0
2120040110000,212004011000,2,12,00,401,1000,0
2120040120001,212004012000,2,12,00,401,2000,1
2120040120001,212004012000,2,12,00,401,2000,1
2130020040000,213002004000,2,13,00,200,4000,0
2130020050000,213002005000,2,13,00,200,5000,0
2130020050000,213002005000,2,13,00,200,5000,0
2130020060000,213002006000,2,13,00,200,6000,0
2130020060000,213002006000,2,13,00,200,6000,0
2130020090000,213002009000,2,13,00,200,9000,0
2130020110000,213002011000,2,13,00,201,1000,0
2130020120000,213002012000,2,13,00,201,2000,0
2130020120000,213002012000,2,13,00,201,2000,0
2130020120000,213002012000,2,13,00,201,2000,0
2130020120000,213002012000,2,13,00,201,2000,0
