TMK13,Bedrooms
2130080110000,3.0
2130080110000,1.0
2130080120000,3.0
2130080120000,2.0
2130080130000,2.0
2130080140000,3.0
2130080140000,1.0
2130080150000,3.0
2130080160000,1.0
2130080190000,2.0
2130080190000,2.0
2130080200000,3.0
2130080210000,3.0
2130080220000,2.0
2130080230000,2.0
2130080230000,2.0
2130080240000,1.0
2130080240000,2.0
2130080250000,4.0
2130080260000,1.0
2130080260000,1.0
2130080270000,2.0
2130080280000,3.0
2130080290000,3.0
2130080300000,1.0
2130080300000,3.0
2130080310000,2.0
2130080310000,2.0
2130080320000,1.0
2130080320000,4.0
2130080330000,3.0
2130080330000,1.0
2130080350000,5.0
2130080360000,3.0
2130080380000,3.0
2130080380000,2.0
2130080390000,3.0
2130080400000,1.0
2130080410000,3.0
2130080420000,1.0
2130080440000,3.0
2130080440000,1.0
2130090020000,3.0
2130090030000,3.0
2130090040000,2.0
2130090040000,3.0
2130090070000,3.0
2130090080000,1.0
2130090100000,
2130090100000,3.0
2130090110000,4.0
2130090110000,1.0
2130090120000,3.0
2130090130000,4.0
2130090140000,2.0
2130090160000,1.0
2130090170000,2.0
2130090180000,2.0
2130090200000,3.0
2130090210000,3.0
2130090210000,2.0
2130090220000,1.0
2130090220000,4.0
2130090240000,2.0
2130090250000,4.0
2130090270000,4.0
2130090280000,2.0
2130090280000,2.0
2130090290000,3.0
2130090290000,1.0
2130090290000,1.0
2130090300000,4.0
2130090300000,1.0
2130090310000,1.0
2130090310000,3.0
2130090320000,2.0
2130090330000,2.0
2130090340000,
2130090350000,3.0
2130090350000,3.0
2130090360000,2.0
2130090420000,1.0
2130090420000,2.0
2130090450001,3.0
2130090450002,2.0
2130090460000,2.0
2130090470000,1.0
2130090480000,5.0
2130090480000,
2130090490000,3.0
2130090490000,1.0
2130090500000,3.0
2130090510000,3.0
2130090520000,3.0
2130090530000,2.0
2130090540000,4.0
2130090570000,4.0
2130090590000,2.0
2130090590000,
2130090600000,1.0
2130090600000,2.0
2130090610000,4.0
2130090620000,2.0
2130090650000,2.0
2130090680000,2.0
2130090680000,2.0
2130090690000,2.0
2130090700000,3.0
2130090710000,2.0
2130090730000,2.0
2130090750000,2.0
2130090760000,4.0
2130090760000,
2130090770000,1.0
2130090780000,4.0
2130090790000,3.0
2130090800000,2.0
2130090810000,2.0
2130090830000,3.0
2130090840000,2.0
2130090840000,2.0
2130090850000,3.0
2130090860000,3.0
2130090880000,3.0
2130090890000,3.0
2130090900000,2.0
2130090910000,2.0
2130090920000,3.0
2130090950000,1.0
2130090960000,4.0
2130090980000,3.0
2130090990000,3.0
2130091000000,1.0
2130091030000,1.0
2130091030000,1.0
2130091040000,1.0
2130091070000,2.0
2130091070000,2.0
2130091110000,1.0
2130091120000,2.0
2140020040000,2.0
2140030010000,3.0
2140030010000,2.0
2140030040000,3.0
2140030200000,3.0
2140030230000,2.0
2140030250000,2.0
2140030280000,3.0
2140030290000,3.0
2140030290000,1.0
2140030340000,3.0
2140030400000,4.0
2140030460000,3.0
2140030480000,2.0
2140030500000,2.0
2140030510000,2.0
2140030560000,2.0
2140030560000,1.0
2140030560000,2.0
2140030560000,3.0
2140030560000,6.0
2140030560000,3.0
2140030580001,1.0
2140030580002,1.0
2140030580003,1.0
2140030580004,1.0
2140030580005,1.0
2140030580006,1.0
2140030580007,1.0
2140030580008,1.0
2140030580009,1.0
2140030580010,1.0
2140030580011,1.0
2140030580012,1.0
2140030580013,1.0
2140030580014,1.0
2140030580015,1.0
2140030580016,1.0
2140030580017,1.0
2140030580018,1.0
2140030580019,1.0
2140030580020,1.0
2140030580021,1.0
2140030580022,1.0
2140030580023,1.0
2140030580024,1.0
2140030580025,1.0
2140030580026,1.0
2140030580027,1.0
2140030580028,1.0
2140030580029,1.0
2140030580030,1.0
2140030580031,1.0
2140030580032,1.0
2140030580033,1.0
2140030580034,1.0
2140030580035,1.0
2140030580036,1.0
2140030580037,1.0
2140030580038,1.0
2140030580039,1.0
2140030580040,1.0
2140030580041,1.0
2140030580042,1.0
2140030580043,1.0
2140030580044,1.0
2140030580045,1.0
2140030580046,1.0
2140030580047,1.0
2140030600000,1.0
2140030600000,
